Cod_municipio,Uf,Nome,Cod_ibge,Num_habitantes
1200328,AC,Jordão,"1200328   ",NULL
1200336,AC,Mâncio Lima,"1200336   ",NULL
1200344,AC,Manoel Urbano,"1200344   ",NULL
1200351,AC,Marechal Thaumaturgo,"1200351   ",NULL
1200385,AC,Plácido de Castro,"1200385   ",NULL
1200393,AC,Porto Walter,"1200393   ",NULL
1200401,AC,Rio Branco,"1200401   ",NULL
1200427,AC,Rodrigues Alves,"1200427   ",NULL
1200435,AC,Santa Rosa do Purus,"1200435   ",NULL
1200450,AC,Senador Guiomard,"1200450   ",NULL
1200500,AC,Sena Madureira,"1200500   ",NULL
1200609,AC,Tarauacá,"1200609   ",NULL
1200708,AC,Xapuri,"1200708   ",NULL
1200807,AC,Porto Acre,"1200807   ",NULL
1300029,AM,Alvarães,"1300029   ",NULL
1300060,AM,Amaturá,"1300060   ",NULL
1300086,AM,Anamã,"1300086   ",NULL
1300102,AM,Anori,"1300102   ",NULL
1300144,AM,Apuí,"1300144   ",NULL
1300201,AM,Atalaia do Norte,"1300201   ",NULL
1300300,AM,Autazes,"1300300   ",NULL
1300409,AM,Barcelos,"1300409   ",NULL
1300508,AM,Barreirinha,"1300508   ",NULL
1300607,AM,Benjamin Constant,"1300607   ",NULL
1300631,AM,Beruri,"1300631   ",NULL
1300680,AM,Boa Vista do Ramos,"1300680   ",NULL
1300706,AM,Boca do Acre,"1300706   ",NULL
1300805,AM,Borba,"1300805   ",NULL
1300839,AM,Caapiranga,"1300839   ",NULL
1300904,AM,Canutama,"1300904   ",NULL
1301001,AM,Carauari,"1301001   ",NULL
1301100,AM,Careiro,"1301100   ",NULL
1301159,AM,Careiro da Várzea,"1301159   ",NULL
1301209,AM,Coari,"1301209   ",NULL
1301308,AM,Codajás,"1301308   ",NULL
1301407,AM,Eirunepé,"1301407   ",NULL
1301506,AM,Envira,"1301506   ",NULL
1301605,AM,Fonte Boa,"1301605   ",NULL
1301654,AM,Guajará,"1301654   ",NULL
1301704,AM,Humaitá,"1301704   ",NULL
1301803,AM,Ipixuna,"1301803   ",NULL
1301852,AM,Iranduba,"1301852   ",NULL
1301902,AM,Itacoatiara,"1301902   ",NULL
1301951,AM,Itamarati,"1301951   ",NULL
1302009,AM,Itapiranga,"1302009   ",NULL
1302108,AM,Japurá,"1302108   ",NULL
1302207,AM,Juruá,"1302207   ",NULL
1302306,AM,Jutaí,"1302306   ",NULL
1302405,AM,Lábrea,"1302405   ",NULL
1302504,AM,Manacapuru,"1302504   ",NULL
1302553,AM,Manaquiri,"1302553   ",NULL
1302603,AM,Manaus,"1302603   ",NULL
1302702,AM,Manicoré,"1302702   ",NULL
1302801,AM,Maraã,"1302801   ",NULL
1302900,AM,Maués,"1302900   ",NULL
1303007,AM,Nhamundá,"1303007   ",NULL
1303106,AM,Nova Olinda do Norte,"1303106   ",NULL
1303205,AM,Novo Airão,"1303205   ",NULL
1303304,AM,Novo Aripuanã,"1303304   ",NULL
1303403,AM,Parintins,"1303403   ",NULL
1303502,AM,Pauini,"1303502   ",NULL
1303536,AM,Presidente Figueiredo,"1303536   ",NULL
1303569,AM,Rio Preto da Eva,"1303569   ",NULL
1303601,AM,Santa Isabel do Rio Negro,"1303601   ",NULL
1303700,AM,Santo Antônio do Içá,"1303700   ",NULL
1303809,AM,São Gabriel da Cachoeira,"1303809   ",NULL
1303908,AM,São Paulo de Olivença,"1303908   ",NULL
1303957,AM,São Sebastião do Uatumã,"1303957   ",NULL
1304005,AM,Silves,"1304005   ",NULL
1304062,AM,Tabatinga,"1304062   ",NULL
1304104,AM,Tapauá,"1304104   ",NULL
1304203,AM,Tefé,"1304203   ",NULL
1304237,AM,Tonantins,"1304237   ",NULL
1304260,AM,Uarini,"1304260   ",NULL
1304302,AM,Urucará,"1304302   ",NULL
1304401,AM,Urucurituba,"1304401   ",NULL
1400027,RR,Amajari,"1400027   ",NULL
1400050,RR,Alto Alegre,"1400050   ",NULL
1400100,RR,Boa Vista,"1400100   ",NULL
1400159,RR,Bonfim,"1400159   ",NULL
1400175,RR,Cantá,"1400175   ",NULL
1400209,RR,Caracaraí,"1400209   ",NULL
1400233,RR,Caroebe,"1400233   ",NULL
1400282,RR,Iracema,"1400282   ",NULL
1400308,RR,Mucajaí,"1400308   ",NULL
1400407,RR,Normandia,"1400407   ",NULL
1400456,RR,Pacaraima,"1400456   ",NULL
1400472,RR,Rorainópolis,"1400472   ",NULL
1400506,RR,São João da Baliza,"1400506   ",NULL
1400605,RR,São Luiz,"1400605   ",NULL
1400704,RR,Uiramutã,"1400704   ",NULL
1500107,PA,Abaetetuba,"1500107   ",NULL
1500131,PA,Abel Figueiredo,"1500131   ",NULL
1500206,PA,Acará,"1500206   ",NULL
1500305,PA,Afuá,"1500305   ",NULL
1500347,PA,Água Azul do Norte,"1500347   ",NULL
1500404,PA,Alenquer,"1500404   ",NULL
1500503,PA,Almeirim,"1500503   ",NULL
1500602,PA,Altamira,"1500602   ",NULL
1500701,PA,Anajás,"1500701   ",NULL
1500800,PA,Ananindeua,"1500800   ",NULL
1500859,PA,Anapu,"1500859   ",NULL
1500909,PA,Augusto Corrêa,"1500909   ",NULL
1500958,PA,Aurora do Pará,"1500958   ",NULL
1501006,PA,Aveiro,"1501006   ",NULL
1501105,PA,Bagre,"1501105   ",NULL
1501204,PA,Baião,"1501204   ",NULL
1501253,PA,Bannach,"1501253   ",NULL
1501303,PA,Barcarena,"1501303   ",NULL
1501402,PA,Belém,"1501402   ",NULL
1501451,PA,Belterra,"1501451   ",NULL
1501501,PA,Benevides,"1501501   ",NULL
1501576,PA,Bom Jesus do Tocantins,"1501576   ",NULL
1501600,PA,Bonito,"1501600   ",NULL
1501709,PA,Bragança,"1501709   ",NULL
1501725,PA,Brasil Novo,"1501725   ",NULL
1501758,PA,Brejo Grande do Araguaia,"1501758   ",NULL
1501782,PA,Breu Branco,"1501782   ",NULL
1501808,PA,Breves,"1501808   ",NULL
1501907,PA,Bujaru,"1501907   ",NULL
1501956,PA,Cachoeira do Piriá,"1501956   ",NULL
1502004,PA,Cachoeira do Arari,"1502004   ",NULL
1502103,PA,Cametá,"1502103   ",NULL
1502152,PA,Canaã dos Carajás,"1502152   ",NULL
1502202,PA,Capanema,"1502202   ",NULL
1502301,PA,Capitão Poço,"1502301   ",NULL
1502400,PA,Castanhal,"1502400   ",NULL
1502509,PA,Chaves,"1502509   ",NULL
1502608,PA,Colares,"1502608   ",NULL
1502707,PA,Conceição do Araguaia,"1502707   ",NULL
1502756,PA,Concórdia do Pará,"1502756   ",NULL
1502764,PA,Cumaru do Norte,"1502764   ",NULL
1502772,PA,Curionópolis,"1502772   ",NULL
1502806,PA,Curralinho,"1502806   ",NULL
1502855,PA,Curuá,"1502855   ",NULL
1502905,PA,Curuçá,"1502905   ",NULL
1502939,PA,Dom Eliseu,"1502939   ",NULL
1502954,PA,Eldorado dos Carajás,"1502954   ",NULL
1503002,PA,Faro,"1503002   ",NULL
1503044,PA,Floresta do Araguaia,"1503044   ",NULL
1503077,PA,Garrafão do Norte,"1503077   ",NULL
1503093,PA,Goianésia do Pará,"1503093   ",NULL
1503101,PA,Gurupá,"1503101   ",NULL
1503200,PA,Igarapé-Açu,"1503200   ",NULL
1503309,PA,Igarapé-Miri,"1503309   ",NULL
1503408,PA,Inhangapi,"1503408   ",NULL
1503457,PA,Ipixuna do Pará,"1503457   ",NULL
1503507,PA,Irituia,"1503507   ",NULL
1503606,PA,Itaituba,"1503606   ",NULL
1503705,PA,Itupiranga,"1503705   ",NULL
1503754,PA,Jacareacanga,"1503754   ",NULL
1503804,PA,Jacundá,"1503804   ",NULL
1503903,PA,Juruti,"1503903   ",NULL
1504000,PA,Limoeiro do Ajuru,"1504000   ",NULL
1504059,PA,Mãe do Rio,"1504059   ",NULL
1504109,PA,Magalhães Barata,"1504109   ",NULL
1504208,PA,Marabá,"1504208   ",NULL
1504307,PA,Maracanã,"1504307   ",NULL
1504406,PA,Marapanim,"1504406   ",NULL
1504422,PA,Marituba,"1504422   ",NULL
1504455,PA,Medicilândia,"1504455   ",NULL
1504505,PA,Melgaço,"1504505   ",NULL
1504604,PA,Mocajuba,"1504604   ",NULL
1504703,PA,Moju,"1504703   ",NULL
1504802,PA,Monte Alegre,"1504802   ",NULL
1504901,PA,Muaná,"1504901   ",NULL
1504950,PA,Nova Esperança do Piriá,"1504950   ",NULL
1504976,PA,Nova Ipixuna,"1504976   ",NULL
1505007,PA,Nova Timboteua,"1505007   ",NULL
1505031,PA,Novo Progresso,"1505031   ",NULL
1505064,PA,Novo Repartimento,"1505064   ",NULL
1505106,PA,Óbidos,"1505106   ",NULL
1505205,PA,Oeiras do Pará,"1505205   ",NULL
1505304,PA,Oriximiná,"1505304   ",NULL
1505403,PA,Ourém,"1505403   ",NULL
1505437,PA,Ourilândia do Norte,"1505437   ",NULL
1505486,PA,Pacajá,"1505486   ",NULL
1505494,PA,Palestina do Pará,"1505494   ",NULL
1505502,PA,Paragominas,"1505502   ",NULL
1505536,PA,Parauapebas,"1505536   ",NULL
1505551,PA,Pau D'Arco,"1505551   ",NULL
1505601,PA,Peixe-Boi,"1505601   ",NULL
1505635,PA,Piçarra,"1505635   ",NULL
1505650,PA,Placas,"1505650   ",NULL
1505700,PA,Ponta de Pedras,"1505700   ",NULL
1505809,PA,Portel,"1505809   ",NULL
1505908,PA,Porto de Moz,"1505908   ",NULL
1506005,PA,Prainha,"1506005   ",NULL
1506104,PA,Primavera,"1506104   ",NULL
1506112,PA,Quatipuru,"1506112   ",NULL
1506138,PA,Redenção,"1506138   ",NULL
1506161,PA,Rio Maria,"1506161   ",NULL
1506187,PA,Rondon do Pará,"1506187   ",NULL
1506195,PA,Rurópolis,"1506195   ",NULL
1506203,PA,Salinópolis,"1506203   ",NULL
1506302,PA,Salvaterra,"1506302   ",NULL
1506351,PA,Santa Bárbara do Pará,"1506351   ",NULL
1506401,PA,Santa Cruz do Arari,"1506401   ",NULL
1506500,PA,Santa Isabel do Pará,"1506500   ",NULL
1506559,PA,Santa Luzia do Pará,"1506559   ",NULL
1506583,PA,Santa Maria das Barreiras,"1506583   ",NULL
1506609,PA,Santa Maria do Pará,"1506609   ",NULL
1506708,PA,Santana do Araguaia,"1506708   ",NULL
1506807,PA,Santarém,"1506807   ",NULL
1506906,PA,Santarém Novo,"1506906   ",NULL
1507003,PA,Santo Antônio do Tauá,"1507003   ",NULL
1507102,PA,São Caetano de Odivelas,"1507102   ",NULL
1507151,PA,São Domingos do Araguaia,"1507151   ",NULL
1507201,PA,São Domingos do Capim,"1507201   ",NULL
1507300,PA,São Félix do Xingu,"1507300   ",NULL
1507409,PA,São Francisco do Pará,"1507409   ",NULL
1507458,PA,São Geraldo do Araguaia,"1507458   ",NULL
1507466,PA,São João da Ponta,"1507466   ",NULL
1507474,PA,São João de Pirabas,"1507474   ",NULL
1507508,PA,São João do Araguaia,"1507508   ",NULL
1507607,PA,São Miguel do Guamá,"1507607   ",NULL
1507706,PA,São Sebastião da Boa Vista,"1507706   ",NULL
1507755,PA,Sapucaia,"1507755   ",NULL
1507805,PA,Senador José Porfírio,"1507805   ",NULL
1507904,PA,Soure,"1507904   ",NULL
1507953,PA,Tailândia,"1507953   ",NULL
1507961,PA,Terra Alta,"1507961   ",NULL
1507979,PA,Terra Santa,"1507979   ",NULL
1508001,PA,Tomé-Açu,"1508001   ",NULL
1508035,PA,Tracuateua,"1508035   ",NULL
1508050,PA,Trairão,"1508050   ",NULL
1508084,PA,Tucumã,"1508084   ",NULL
1508100,PA,Tucuruí,"1508100   ",NULL
1508126,PA,Ulianópolis,"1508126   ",NULL
1508159,PA,Uruará,"1508159   ",NULL
1508209,PA,Vigia,"1508209   ",NULL
1508308,PA,Viseu,"1508308   ",NULL
1508357,PA,Vitória do Xingu,"1508357   ",NULL
1508407,PA,Xinguara,"1508407   ",NULL
1600055,AP,Serra do Navio,"1600055   ",NULL
1600105,AP,Amapá,"1600105   ",NULL
1600154,AP,Pedra Branca do Amapari,"1600154   ",NULL
1600204,AP,Calçoene,"1600204   ",NULL
1600212,AP,Cutias,"1600212   ",NULL
1600238,AP,Ferreira Gomes,"1600238   ",NULL
1600253,AP,Itaubal,"1600253   ",NULL
1600279,AP,Laranjal do Jari,"1600279   ",NULL
1600303,AP,Macapá,"1600303   ",NULL
1600402,AP,Mazagão,"1600402   ",NULL
1600501,AP,Oiapoque,"1600501   ",NULL
1600535,AP,Porto Grande,"1600535   ",NULL
1600550,AP,Pracuúba,"1600550   ",NULL
1600600,AP,Santana,"1600600   ",NULL
1600709,AP,Tartarugalzinho,"1600709   ",NULL
1600808,AP,Vitória do Jari,"1600808   ",NULL
1700251,TO,Abreulândia,"1700251   ",NULL
1700301,TO,Aguiarnópolis,"1700301   ",NULL
1700350,TO,Aliança do Tocantins,"1700350   ",NULL
1700400,TO,Almas,"1700400   ",NULL
1700707,TO,Alvorada,"1700707   ",NULL
1701002,TO,Ananás,"1701002   ",NULL
1701051,TO,Angico,"1701051   ",NULL
1701101,TO,Aparecida do Rio Negro,"1701101   ",NULL
1701309,TO,Aragominas,"1701309   ",NULL
1701903,TO,Araguacema,"1701903   ",NULL
1702000,TO,Araguaçu,"1702000   ",NULL
1702109,TO,Araguaína,"1702109   ",NULL
1702158,TO,Araguanã,"1702158   ",NULL
1702208,TO,Araguatins,"1702208   ",NULL
1702307,TO,Arapoema,"1702307   ",NULL
1702406,TO,Arraias,"1702406   ",NULL
1702554,TO,Augustinópolis,"1702554   ",NULL
1702703,TO,Aurora do Tocantins,"1702703   ",NULL
1702901,TO,Axixá do Tocantins,"1702901   ",NULL
1703008,TO,Babaçulândia,"1703008   ",NULL
1703057,TO,Bandeirantes do Tocantins,"1703057   ",NULL
1703073,TO,Barra do Ouro,"1703073   ",NULL
1703107,TO,Barrolândia,"1703107   ",NULL
1703206,TO,Bernardo Sayão,"1703206   ",NULL
1703305,TO,Bom Jesus do Tocantins,"1703305   ",NULL
1703602,TO,Brasilândia do Tocantins,"1703602   ",NULL
1703701,TO,Brejinho de Nazaré,"1703701   ",NULL
1703800,TO,Buriti do Tocantins,"1703800   ",NULL
1703826,TO,Cachoeirinha,"1703826   ",NULL
1703842,TO,Campos Lindos,"1703842   ",NULL
1703867,TO,Cariri do Tocantins,"1703867   ",NULL
1703883,TO,Carmolândia,"1703883   ",NULL
1703891,TO,Carrasco Bonito,"1703891   ",NULL
1703909,TO,Caseara,"1703909   ",NULL
1704105,TO,Centenário,"1704105   ",NULL
1704600,TO,Chapada de Areia,"1704600   ",NULL
1705102,TO,Chapada da Natividade,"1705102   ",NULL
1705508,TO,Colinas do Tocantins,"1705508   ",NULL
1705557,TO,Combinado,"1705557   ",NULL
1705607,TO,Conceição do Tocantins,"1705607   ",NULL
1706001,TO,Couto de Magalhães,"1706001   ",NULL
1706100,TO,Cristalândia,"1706100   ",NULL
1706258,TO,Crixás do Tocantins,"1706258   ",NULL
1706506,TO,Darcinópolis,"1706506   ",NULL
1707009,TO,Dianópolis,"1707009   ",NULL
1707108,TO,Divinópolis do Tocantins,"1707108   ",NULL
1707207,TO,Dois Irmãos do Tocantins,"1707207   ",NULL
1707306,TO,Dueré,"1707306   ",NULL
1707405,TO,Esperantina,"1707405   ",NULL
1707553,TO,Fátima,"1707553   ",NULL
1707652,TO,Figueirópolis,"1707652   ",NULL
1707702,TO,Filadélfia,"1707702   ",NULL
1708205,TO,Formoso do Araguaia,"1708205   ",NULL
1708254,TO,Fortaleza do Tabocão,"1708254   ",NULL
1708304,TO,Goianorte,"1708304   ",NULL
1709005,TO,Goiatins,"1709005   ",NULL
1709302,TO,Guaraí,"1709302   ",NULL
1709500,TO,Gurupi,"1709500   ",NULL
1709807,TO,Ipueiras,"1709807   ",NULL
1710508,TO,Itacajá,"1710508   ",NULL
1710706,TO,Itaguatins,"1710706   ",NULL
1710904,TO,Itapiratins,"1710904   ",NULL
1711100,TO,Itaporã do Tocantins,"1711100   ",NULL
1711506,TO,Jaú do Tocantins,"1711506   ",NULL
1711803,TO,Juarina,"1711803   ",NULL
1711902,TO,Lagoa da Confusão,"1711902   ",NULL
1711951,TO,Lagoa do Tocantins,"1711951   ",NULL
1712009,TO,Lajeado,"1712009   ",NULL
1712157,TO,Lavandeira,"1712157   ",NULL
1712405,TO,Lizarda,"1712405   ",NULL
1712454,TO,Luzinópolis,"1712454   ",NULL
1712504,TO,Marianópolis do Tocantins,"1712504   ",NULL
1712702,TO,Mateiros,"1712702   ",NULL
1712801,TO,Maurilândia do Tocantins,"1712801   ",NULL
1713205,TO,Miracema do Tocantins,"1713205   ",NULL
1713304,TO,Miranorte,"1713304   ",NULL
1713601,TO,Monte do Carmo,"1713601   ",NULL
1713700,TO,Monte Santo do Tocantins,"1713700   ",NULL
1713809,TO,Palmeiras do Tocantins,"1713809   ",NULL
1713957,TO,Muricilândia,"1713957   ",NULL
1714203,TO,Natividade,"1714203   ",NULL
1714302,TO,Nazaré,"1714302   ",NULL
1714880,TO,Nova Olinda,"1714880   ",NULL
1715002,TO,Nova Rosalândia,"1715002   ",NULL
1715101,TO,Novo Acordo,"1715101   ",NULL
1715150,TO,Novo Alegre,"1715150   ",NULL
1715259,TO,Novo Jardim,"1715259   ",NULL
1715507,TO,Oliveira de Fátima,"1715507   ",NULL
1715705,TO,Palmeirante,"1715705   ",NULL
1715754,TO,Palmeirópolis,"1715754   ",NULL
1716109,TO,Paraíso do Tocantins,"1716109   ",NULL
1716208,TO,Paranã,"1716208   ",NULL
1716307,TO,Pau D'Arco,"1716307   ",NULL
1716505,TO,Pedro Afonso,"1716505   ",NULL
1716604,TO,Peixe,"1716604   ",NULL
1716653,TO,Pequizeiro,"1716653   ",NULL
1716703,TO,Colméia,"1716703   ",NULL
1717008,TO,Pindorama do Tocantins,"1717008   ",NULL
1717206,TO,Piraquê,"1717206   ",NULL
1717503,TO,Pium,"1717503   ",NULL
1717800,TO,Ponte Alta do Bom Jesus,"1717800   ",NULL
1717909,TO,Ponte Alta do Tocantins,"1717909   ",NULL
1718006,TO,Porto Alegre do Tocantins,"1718006   ",NULL
1718204,TO,Porto Nacional,"1718204   ",NULL
1718303,TO,Praia Norte,"1718303   ",NULL
1718402,TO,Presidente Kennedy,"1718402   ",NULL
1718451,TO,Pugmil,"1718451   ",NULL
1718501,TO,Recursolândia,"1718501   ",NULL
1718550,TO,Riachinho,"1718550   ",NULL
1718659,TO,Rio da Conceição,"1718659   ",NULL
1718709,TO,Rio dos Bois,"1718709   ",NULL
1718758,TO,Rio Sono,"1718758   ",NULL
1718808,TO,Sampaio,"1718808   ",NULL
1718840,TO,Sandolândia,"1718840   ",NULL
1718865,TO,Santa Fé do Araguaia,"1718865   ",NULL
1718881,TO,Santa Maria do Tocantins,"1718881   ",NULL
1718899,TO,Santa Rita do Tocantins,"1718899   ",NULL
1718907,TO,Santa Rosa do Tocantins,"1718907   ",NULL
1719004,TO,Santa Tereza do Tocantins,"1719004   ",NULL
1720002,TO,Santa Terezinha do Tocantins,"1720002   ",NULL
1720101,TO,São Bento do Tocantins,"1720101   ",NULL
1720150,TO,São Félix do Tocantins,"1720150   ",NULL
1720200,TO,São Miguel do Tocantins,"1720200   ",NULL
1720259,TO,São Salvador do Tocantins,"1720259   ",NULL
1720309,TO,São Sebastião do Tocantins,"1720309   ",NULL
1720499,TO,São Valério da Natividade,"1720499   ",NULL
1720655,TO,Silvanópolis,"1720655   ",NULL
1720804,TO,Sítio Novo do Tocantins,"1720804   ",NULL
1720853,TO,Sucupira,"1720853   ",NULL
1720903,TO,Taguatinga,"1720903   ",NULL
1720937,TO,Taipas do Tocantins,"1720937   ",NULL
1720978,TO,Talismã,"1720978   ",NULL
1721000,TO,Palmas,"1721000   ",NULL
1721109,TO,Tocantínia,"1721109   ",NULL
1721208,TO,Tocantinópolis,"1721208   ",NULL
1721257,TO,Tupirama,"1721257   ",NULL
1721307,TO,Tupiratins,"1721307   ",NULL
1722081,TO,Wanderlândia,"1722081   ",NULL
1722107,TO,Xambioá,"1722107   ",NULL
2100055,MA,Açailândia,"2100055   ",NULL
2100105,MA,Afonso Cunha,"2100105   ",NULL
2100154,MA,Água Doce do Maranhão,"2100154   ",NULL
2100204,MA,Alcântara,"2100204   ",NULL
2100303,MA,Aldeias Altas,"2100303   ",NULL
2100402,MA,Altamira do Maranhão,"2100402   ",NULL
2100436,MA,Alto Alegre do Maranhão,"2100436   ",NULL
2100477,MA,Alto Alegre do Pindaré,"2100477   ",NULL
2100501,MA,Alto Parnaíba,"2100501   ",NULL
2100550,MA,Amapá do Maranhão,"2100550   ",NULL
2100600,MA,Amarante do Maranhão,"2100600   ",NULL
2100709,MA,Anajatuba,"2100709   ",NULL
2100808,MA,Anapurus,"2100808   ",NULL
2100832,MA,Apicum-Açu,"2100832   ",NULL
2100873,MA,Araguanã,"2100873   ",NULL
2100907,MA,Araioses,"2100907   ",NULL
2100956,MA,Arame,"2100956   ",NULL
2101004,MA,Arari,"2101004   ",NULL
2101103,MA,Axixá,"2101103   ",NULL
2101202,MA,Bacabal,"2101202   ",NULL
2101251,MA,Bacabeira,"2101251   ",NULL
2101301,MA,Bacuri,"2101301   ",NULL
2101350,MA,Bacurituba,"2101350   ",NULL
2101400,MA,Balsas,"2101400   ",NULL
2101509,MA,Barão de Grajaú,"2101509   ",NULL
2101608,MA,Barra do Corda,"2101608   ",NULL
2101707,MA,Barreirinhas,"2101707   ",NULL
2101731,MA,Belágua,"2101731   ",NULL
2101772,MA,Bela Vista do Maranhão,"2101772   ",NULL
2101806,MA,Benedito Leite,"2101806   ",NULL
2101905,MA,Bequimão,"2101905   ",NULL
2101939,MA,Bernardo do Mearim,"2101939   ",NULL
2101970,MA,Boa Vista do Gurupi,"2101970   ",NULL
2102002,MA,Bom Jardim,"2102002   ",NULL
2102036,MA,Bom Jesus das Selvas,"2102036   ",NULL
2102077,MA,Bom Lugar,"2102077   ",NULL
2102101,MA,Brejo,"2102101   ",NULL
2102150,MA,Brejo de Areia,"2102150   ",NULL
2102200,MA,Buriti,"2102200   ",NULL
2102309,MA,Buriti Bravo,"2102309   ",NULL
2102325,MA,Buriticupu,"2102325   ",NULL
2102358,MA,Buritirana,"2102358   ",NULL
2102374,MA,Cachoeira Grande,"2102374   ",NULL
2102408,MA,Cajapió,"2102408   ",NULL
2102507,MA,Cajari,"2102507   ",NULL
2102556,MA,Campestre do Maranhão,"2102556   ",NULL
2102606,MA,Cândido Mendes,"2102606   ",NULL
2102705,MA,Cantanhede,"2102705   ",NULL
2102754,MA,Capinzal do Norte,"2102754   ",NULL
2102804,MA,Carolina,"2102804   ",NULL
2102903,MA,Carutapera,"2102903   ",NULL
2103000,MA,Caxias,"2103000   ",NULL
2103109,MA,Cedral,"2103109   ",NULL
2103125,MA,Central do Maranhão,"2103125   ",NULL
2103158,MA,Centro do Guilherme,"2103158   ",NULL
2103174,MA,Centro Novo do Maranhão,"2103174   ",NULL
2103208,MA,Chapadinha,"2103208   ",NULL
2103257,MA,Cidelândia,"2103257   ",NULL
2103307,MA,Codó,"2103307   ",NULL
2103406,MA,Coelho Neto,"2103406   ",NULL
2103505,MA,Colinas,"2103505   ",NULL
2103554,MA,Conceição do Lago-Açu,"2103554   ",NULL
2103604,MA,Coroatá,"2103604   ",NULL
2103703,MA,Cururupu,"2103703   ",NULL
2103752,MA,Davinópolis,"2103752   ",NULL
2103802,MA,Dom Pedro,"2103802   ",NULL
2103901,MA,Duque Bacelar,"2103901   ",NULL
2104008,MA,Esperantinópolis,"2104008   ",NULL
2104057,MA,Estreito,"2104057   ",NULL
2104073,MA,Feira Nova do Maranhão,"2104073   ",NULL
2104081,MA,Fernando Falcão,"2104081   ",NULL
2104099,MA,Formosa da Serra Negra,"2104099   ",NULL
2104107,MA,Fortaleza dos Nogueiras,"2104107   ",NULL
2104206,MA,Fortuna,"2104206   ",NULL
2104305,MA,Godofredo Viana,"2104305   ",NULL
2104404,MA,Gonçalves Dias,"2104404   ",NULL
2104503,MA,Governador Archer,"2104503   ",NULL
2104552,MA,Governador Edison Lobão,"2104552   ",NULL
2104602,MA,Governador Eugênio Barros,"2104602   ",NULL
2104628,MA,Governador Luiz Rocha,"2104628   ",NULL
2104651,MA,Governador Newton Bello,"2104651   ",NULL
2104677,MA,Governador Nunes Freire,"2104677   ",NULL
2104701,MA,Graça Aranha,"2104701   ",NULL
2104800,MA,Grajaú,"2104800   ",NULL
